assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.16246283,0.1558374,0.1209424,0.1367592,0.13001712,0.13543113,0.16360037,0.15230525,0.15191181,0.1534992
0.15464047,0.14992328,0.17489232,0.17235856,0.14067376,0.14877298,0.17928874,0.14769454,0.16048199,0.14563051
0.17718928,0.16331182,0.13945808,0.16054882,0.14380398,0.15489556,0.17266408,0.16122629,0.16707139,0.168113
0.14461024,0.1471859,0.11821655,0.118928045,0.12701248,0.11892659,0.14138678,0.14920707,0.13918257,0.13415408
0.105896346,0.11939267,0.110419475,0.09238744,0.118413,0.1088447,0.11992493,0.10517946,0.11386805,0.109772146
0.1657326,0.14801186,0.116320245,0.13325822,0.13221055,0.13332228,0.15478438,0.15153627,0.15333569,0.16040252
0.12446765,0.1482121,0.09962218,0.123245694,0.10983297,0.12369023,0.10602986,0.12446137,0.12169597,0.12110474
0.13926148,0.14801382,0.10268926,0.13263774,0.11525832,0.12792373,0.12922016,0.13280338,0.12879181,0.14219405
0.15413696,0.14456677,0.12929073,0.1427357,0.12778799,0.1353866,0.16044533,0.14329113,0.1474667,0.15206727
0.16811848,0.15042579,0.14805418,0.15177089,0.14498772,0.14656515,0.18718955,0.16030464,0.16636151,0.16138133
0.15342507,0.14724223,0.116307855,0.1209209,0.13750118,0.12597595,0.15749224,0.15349327,0.16052733,0.14404234
0.14835714,0.14599578,0.11870453,0.12527443,0.12137851,0.122361176,0.15034096,0.14157388,0.13777694,0.1421239
0.091625415,0.10901606,0.09589542,0.09559379,0.08992139,0.09431677,0.10452345,0.09005126,0.08634503,0.0914389
0.13720046,0.12950628,0.10836256,0.11140465,0.11514082,0.11618469,0.14194041,0.13978465,0.12849523,0.12270359
0.17377533,0.16667953,0.12774952,0.14791387,0.13448142,0.14188018,0.17495085,0.1701363,0.16157593,0.16244155
0.14005077,0.1292145,0.11700174,0.13154684,0.122589864,0.1345485,0.15264045,0.14154898,0.14567287,0.13400587
0.1947218,0.16011734,0.15323873,0.14524269,0.14909075,0.1384755,0.21688502,0.17784037,0.18519542,0.17991734
