assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.11636885,0.120987386,0.08183211,0.092861824,0.09572576,0.09732152,0.110287406,0.1322796,0.11574147,0.10793506
0.1396072,0.13935235,0.120591216,0.13267913,0.11539069,0.12175744,0.1454043,0.15005282,0.13912272,0.12616257
0.1078293,0.11217011,0.08007599,0.08789317,0.09134004,0.09481916,0.10479348,0.107397765,0.10102898,0.10027647
0.122538745,0.11573105,0.08231442,0.08256255,0.1079233,0.09477051,0.11784764,0.12214311,0.116573736,0.11722019
0.14962238,0.13096076,0.09438198,0.09128155,0.13537954,0.10549532,0.13163392,0.13826694,0.14219055,0.14949305
0.10689359,0.11248044,0.08584029,0.090341076,0.09183907,0.094425626,0.10971219,0.11661265,0.105106175,0.09824426
0.116080314,0.11907445,0.08036011,0.08781185,0.10251528,0.09944215,0.11357463,0.11884722,0.11440689,0.11386622
0.12103958,0.11554148,0.09013417,0.09720923,0.09568247,0.098123625,0.11681722,0.1315568,0.11483203,0.108356796
0.10953732,0.108238146,0.07882279,0.0810694,0.09260434,0.08744601,0.10403843,0.10160414,0.10292263,0.103338435
0.12171619,0.12055691,0.088423885,0.088945806,0.108624384,0.09658313,0.12758766,0.12058777,0.13038972,0.121887624
0.11581928,0.10999614,0.08446262,0.08350759,0.10468548,0.09586983,0.10603582,0.12089253,0.1192493,0.11405121
0.14009643,0.1246684,0.09883058,0.101544105,0.10634185,0.09865572,0.12893695,0.16626677,0.12617105,0.122481555
0.14035968,0.12999211,0.097465575,0.11438943,0.11468307,0.11774377,0.13999873,0.139692,0.13818075,0.13513395
0.11137974,0.11959251,0.089781225,0.08952041,0.11121741,0.09581022,0.11130592,0.11350888,0.12307009,0.11114746
0.1384166,0.12609777,0.09942686,0.10015825,0.122597635,0.10871303,0.15010735,0.14559904,0.15063134,0.13580805
0.12205515,0.106921755,0.09316893,0.10132782,0.09447781,0.1042179,0.124932714,0.12567218,0.107805595,0.10721873
0.1020833,0.1095342,0.08076503,0.090535395,0.08657564,0.09107149,0.096057095,0.11538772,0.10131675,0.09229243
0.1406875,0.13384694,0.09395041,0.101794146,0.11064785,0.108754516,0.12990597,0.14118779,0.13306268,0.13181593
0.118726745,0.11811963,0.09557574,0.093557835,0.11369927,0.09892776,0.12502724,0.114626236,0.12656723,0.119188726
0.18183908,0.16050851,0.13729443,0.15495782,0.1413614,0.14303271,0.18021478,0.180645,0.17521136,0.16572887
0.13346338,0.12653863,0.0981767,0.10023619,0.118529566,0.113916345,0.13773067,0.13033739,0.13404162,0.12884665
0.12709188,0.11619775,0.09534704,0.10457591,0.10842351,0.10969209,0.13064758,0.12999779,0.13383009,0.11742568
0.12674063,0.12872906,0.097935185,0.101773925,0.110617615,0.10639877,0.12550937,0.120135464,0.12799715,0.12258995
0.14044385,0.12557636,0.10579691,0.106439225,0.11241042,0.10698459,0.14641455,0.1341902,0.13275203,0.13370758
0.121838965,0.11677563,0.088633515,0.094914176,0.10452977,0.1017013,0.11460486,0.11566284,0.12274524,0.1217565
0.1130266,0.1196291,0.09738284,0.098007284,0.10848885,0.11078354,0.10901296,0.11345896,0.11956168,0.11238277
